id,subconjunto,categoria,norma,dispositivo,pergunta,gabarito,arquivo_fonte,nivel
D2-001,D2,suitability,Resolucao CVM no 30/2021,art. 2o,Uma instituicao pode recomendar um produto de investimento a um cliente sem antes verificar se ele e adequado ao perfil dele?,"Nao. O art. 2o veda que integrantes do sistema de distribuicao e consultores de valores mobiliarios recomendem produtos, realizem operacoes ou prestem servicos sem verificar sua adequacao ao perfil do cliente.",bibliografia/normas/resolucao-cvm-30-2021-suitability.pdf,basico
D2-002,D2,suitability,Resolucao CVM no 30/2021,"art. 3o, caput",Quais sao as tres dimensoes que precisam ser verificadas para aferir a adequacao ao perfil do cliente?,Se o produto e adequado aos objetivos de investimento (I); se a situacao financeira do cliente e compativel (II); e se o cliente tem conhecimento necessario para compreender os riscos (III).,bibliografia/normas/resolucao-cvm-30-2021-suitability.pdf,basico
D2-003,D2,suitability,Resolucao CVM no 30/2021,"art. 3o, § 1o","Para avaliar os objetivos de investimento do cliente, o que deve ser analisado no minimo?",O periodo em que o cliente deseja manter o investimento; as preferencias declaradas quanto a assuncao de riscos; e as finalidades do investimento.,bibliografia/normas/resolucao-cvm-30-2021-suitability.pdf,intermediario
D2-004,D2,suitability,Resolucao CVM no 30/2021,"art. 3o, § 2o","Para avaliar a situacao financeira do cliente, o que deve ser analisado no minimo?",O valor das receitas regulares declaradas; o valor e os ativos que compoem o patrimonio; e a necessidade futura de recursos declarada pelo cliente.,bibliografia/normas/resolucao-cvm-30-2021-suitability.pdf,intermediario
D2-005,D2,suitability,Resolucao CVM no 30/2021,"art. 3o, § 3o","Para avaliar o conhecimento do cliente sobre riscos, o que deve ser analisado no minimo?","Os tipos de produtos, servicos e operacoes com que tem familiaridade; a natureza, o volume, a frequencia e o periodo das operacoes ja realizadas no mercado de valores mobiliarios; e a formacao academica e a experiencia profissional.",bibliografia/normas/resolucao-cvm-30-2021-suitability.pdf,intermediario
D2-006,D2,suitability,Resolucao CVM no 30/2021,"art. 3o, § 4o",A analise da formacao academica e da experiencia profissional se aplica a todo tipo de cliente?,Nao. O § 4o dispensa essa analise quando o cliente for pessoa juridica.,bibliografia/normas/resolucao-cvm-30-2021-suitability.pdf,avancado
D2-007,D2,suitability,Resolucao CVM no 30/2021,"art. 3o, § 5o",Os custos do produto entram na verificacao de adequacao ao perfil?,"Sim. O § 5o exige considerar custos diretos e indiretos, abstendo-se de recomendar produtos que, isoladamente ou em conjunto, impliquem custos excessivos e inadequados ao perfil do cliente.",bibliografia/normas/resolucao-cvm-30-2021-suitability.pdf,avancado
D2-008,D2,suitability,Resolucao CVM no 30/2021,art. 4o,O que a instituicao deve fazer com o cliente depois de coletar as informacoes de perfil?,Avaliar e classificar o cliente em categorias de perfil de risco previamente estabelecidas.,bibliografia/normas/resolucao-cvm-30-2021-suitability.pdf,basico
D2-009,D2,suitability,Resolucao CVM no 30/2021,"art. 5o, paragrafo unico","Ao classificar as categorias de produtos, o que deve ser considerado no minimo?",Os riscos associados ao produto e a seus ativos subjacentes; o perfil dos emissores e prestadores de servicos; a existencia de garantias; e os prazos de carencia.,bibliografia/normas/resolucao-cvm-30-2021-suitability.pdf,intermediario
D2-010,D2,suitability,Resolucao CVM no 30/2021,art. 6o,Em quais situacoes e vedado recomendar produtos ou servicos ao cliente?,Quando o produto ou servico nao for adequado ao perfil (I); quando nao forem obtidas as informacoes que permitam identificar o perfil (II); e quando as informacoes de perfil nao estiverem atualizadas (III).,bibliografia/normas/resolucao-cvm-30-2021-suitability.pdf,basico
D2-011,D2,suitability,Resolucao CVM no 30/2021,art. 7o,"Se o cliente, mesmo assim, ordenar a operacao inadequada ao seu perfil, o que a instituicao deve fazer antes da primeira operacao?","Alertar o cliente sobre a ausencia, desatualizacao ou inadequacao do perfil, indicando as causas da divergencia, e obter declaracao expressa de que ele esta ciente.",bibliografia/normas/resolucao-cvm-30-2021-suitability.pdf,intermediario
D2-012,D2,suitability,Resolucao CVM no 30/2021,"art. 7o, paragrafo unico",Ha alguma hipotese em que o alerta e a declaracao expressa do art. 7o sao dispensados?,"Sim, quando o cliente estiver comprovadamente implementando recomendacoes fornecidas por consultor de valores mobiliarios autorizado pela CVM.",bibliografia/normas/resolucao-cvm-30-2021-suitability.pdf,avancado
D2-013,D2,suitability,Resolucao CVM no 30/2021,"art. 8o, § 1o",Em que prazo a nomeacao ou substituicao do diretor responsavel deve ser informada a CVM?,Em 7 (sete) dias uteis.,bibliografia/normas/resolucao-cvm-30-2021-suitability.pdf,avancado
D2-014,D2,suitability,Resolucao CVM no 30/2021,"art. 8o, § 2o",Ate quando o diretor responsavel deve encaminhar o relatorio anual aos orgaos de administracao?,"Ate o ultimo dia util do mes de abril, relativo ao ano civil anterior a data de entrega.",bibliografia/normas/resolucao-cvm-30-2021-suitability.pdf,avancado
D2-015,D2,suitability,Resolucao CVM no 30/2021,"art. 9o, I",Com que periodicidade maxima as informacoes de perfil do cliente devem ser atualizadas?,"Observando os criterios e a periodicidade de atualizacao cadastral previstos na norma de PLDFT, respeitado o intervalo maximo de 5 (cinco) anos.",bibliografia/normas/resolucao-cvm-30-2021-suitability.pdf,intermediario
D2-016,D2,suitability,Resolucao CVM no 30/2021,"art. 9o, II",Com que periodicidade as categorias de valores mobiliarios devem ser reclassificadas?,Em intervalos nao superiores a 24 (vinte e quatro) meses.,bibliografia/normas/resolucao-cvm-30-2021-suitability.pdf,intermediario
D2-017,D2,suitability,Resolucao CVM no 30/2021,art. 10,Em quais hipoteses a verificacao de adequacao ao perfil nao e obrigatoria?,"Cliente investidor qualificado, salvo as pessoas naturais do art. 11, IV e do art. 12, II e III (I); cliente pessoa juridica de direito publico (II); cliente com carteira administrada discricionariamente por administrador autorizado pela CVM (III); e cliente com perfil ja definido por consultor autorizado pela CVM, implementando a recomendacao dele (IV).",bibliografia/normas/resolucao-cvm-30-2021-suitability.pdf,avancado
D2-018,D2,suitability,Resolucao CVM no 30/2021,"art. 11, IV",Qual o valor minimo de investimentos financeiros para que uma pessoa natural seja considerada investidor profissional?,"Valor superior a R$ 10.000.000,00, com atestacao por escrito mediante termo proprio, conforme o Anexo A.",bibliografia/normas/resolucao-cvm-30-2021-suitability.pdf,intermediario
D2-019,D2,suitability,Resolucao CVM no 30/2021,"art. 12, II",Qual o valor minimo de investimentos financeiros para que uma pessoa natural seja considerada investidor qualificado?,"Valor superior a R$ 1.000.000,00, com atestacao por escrito mediante termo proprio, conforme o Anexo B.",bibliografia/normas/resolucao-cvm-30-2021-suitability.pdf,intermediario
D2-020,D2,suitability,Resolucao CVM no 30/2021,art. 14,Por quanto tempo os documentos e declaracoes exigidos pela norma de suitability devem ser mantidos?,"Pelo prazo minimo de 5 (cinco) anos contados da ultima recomendacao prestada ou da ultima operacao realizada, ou por prazo superior se a CVM determinar expressamente em processo administrativo.",bibliografia/normas/resolucao-cvm-30-2021-suitability.pdf,intermediario
D2-021,D2,suitability,Resolucao CVM no 30/2021,art. 16,O descumprimento de quais dispositivos da Resolucao CVM no 30/2021 constitui infracao grave?,"A inobservancia das vedacoes e deveres estabelecidos nos arts. 6o e 7o, para efeito do art. 11, § 3o, da Lei no 6.385/1976.",bibliografia/normas/resolucao-cvm-30-2021-suitability.pdf,avancado
D2-022,D2,suitability,Resolucao CVM no 30/2021,art. 18,Desde quando a Resolucao CVM no 30/2021 esta em vigor?,Desde 1o de junho de 2021.,bibliografia/normas/resolucao-cvm-30-2021-suitability.pdf,basico
D2-023,D2,garantia,"Resolucao CMN no 4.222/2013 (Regulamento do FGC, Anexo II)","art. 2o, § 2o",Qual o valor maximo garantido pelo FGC por CPF contra o mesmo conglomerado financeiro?,"R$ 250.000,00 por CPF, considerado o conjunto das instituicoes do mesmo conglomerado financeiro.",bibliografia/normas/resolucao-cmn-4222-2013-regulamento-fgc.pdf,basico
D2-024,D2,garantia,"Resolucao CMN no 4.222/2013 (Regulamento do FGC, Anexo II)","art. 2o, § 3o",Existe algum limite de garantia do FGC alem do teto por conglomerado?,"Sim. Ha um teto global de R$ 1.000.000,00 por CPF a cada periodo de quatro anos consecutivos, somando as garantias pagas em todas as instituicoes associadas, independentemente do conglomerado.",bibliografia/normas/resolucao-cmn-4222-2013-regulamento-fgc.pdf,avancado
D2-025,D2,garantia,"Resolucao CMN no 4.222/2013 (Regulamento do FGC, Anexo II)","art. 2o, § 4o, II","Se o cliente tem aplicacoes em duas instituicoes diferentes do mesmo conglomerado, os valores sao somados para fins de garantia?","Sim. Os creditos sao somados por CPF no conjunto das instituicoes do mesmo conglomerado, e o teto de R$ 250.000,00 se aplica a essa soma.",bibliografia/normas/resolucao-cmn-4222-2013-regulamento-fgc.pdf,intermediario
D2-026,D2,garantia,"Resolucao CMN no 4.222/2013 (Regulamento do FGC, Anexo II)","art. 2o, § 4o, V",Como a garantia do FGC e calculada em conta conjunta?,"O valor garantido e limitado a R$ 250.000,00 para a conta, dividido pelo numero de titulares, e o credito correspondente e atribuido individualmente a cada um deles.",bibliografia/normas/resolucao-cmn-4222-2013-regulamento-fgc.pdf,avancado
D2-027,D2,tributacao,Lei no 11.033/2004,art. 1o,Quais sao as aliquotas da tabela regressiva do Imposto de Renda sobre aplicacoes de renda fixa?,"22,5% ate 180 dias; 20% de 181 a 360 dias; 17,5% de 361 a 720 dias; e 15% acima de 720 dias.",bibliografia/normas/lei-11033-2004-ir-compilado.pdf,basico
D2-028,D2,tributacao,Lei no 11.033/2004,art. 1o,Uma aplicacao resgatada exatamente no 360o dia fica sujeita a qual aliquota de IR?,"20%, porque a faixa de 181 a 360 dias inclui o 360o dia; a aliquota de 17,5% so comeca a partir do 361o dia.",bibliografia/normas/lei-11033-2004-ir-compilado.pdf,avancado
D2-029,D2,tributacao,Decreto no 6.306/2007,art. 32 e Anexo,Sobre qual base o IOF incide nas aplicacoes de renda fixa resgatadas antes de 30 dias?,"Sobre o rendimento, nunca sobre o principal, limitado ao percentual da tabela do Anexo conforme o numero de dias corridos.",bibliografia/normas/decreto-6306-2007-iof-compilado.pdf,intermediario
D2-030,D2,tributacao,Decreto no 6.306/2007,art. 32 e Anexo,Qual o percentual limite de IOF sobre o rendimento em um resgate feito no 15o dia?,50% do rendimento.,bibliografia/normas/decreto-6306-2007-iof-compilado.pdf,avancado
D2-031,D2,tributacao,Decreto no 6.306/2007,art. 32 e Anexo,A partir de quantos dias o IOF deixa de incidir sobre o rendimento?,"A partir de 30 dias corridos, quando o percentual limite passa a ser zero.",bibliografia/normas/decreto-6306-2007-iof-compilado.pdf,basico
D2-032,D2,linguagem,Lei no 15.263/2025,Lei no 15.263/2025,O que a Lei no 15.263/2025 instituiu e a quem se aplica?,"Instituiu a Politica Nacional de Linguagem Simples, vinculante para toda a administracao publica, o que alcanca os bancos publicos.",bibliografia/normas/lei-15263-2025-linguagem-simples.pdf,basico
D2-033,D2,linguagem,Lei no 15.263/2025,Lei no 15.263/2025,A Lei no 15.263/2025 fixa algum indice ou valor numerico de legibilidade a ser atingido?,"Nao. A lei estabelece a politica e seus principios, mas nao define valor numerico especifico de legibilidade.",bibliografia/normas/lei-15263-2025-linguagem-simples.pdf,avancado
D2-034,D2,governanca,Resolucao CMN no 4.968/2021,art. 3o,Quais sao os tres objetivos dos sistemas de controles internos das instituicoes financeiras?,"Desempenho, informacao e conformidade.",bibliografia/normas/resolucao-cmn-4968-2021-controles-internos.pdf,intermediario
D2-035,D2,governanca,Resolucao CMN no 4.879/2020,art. 1o a 3o,A quem a unidade de auditoria interna deve estar subordinada?,"Diretamente ao conselho de administracao, admitida a contratacao de auditor independente nas condicoes do art. 3o, § 1o.",bibliografia/normas/resolucao-cmn-4879-2020-auditoria-interna.pdf,intermediario
D2-036,D2,governanca,Resolucao CMN no 4.893/2021,"art. 2o, § 1o",A politica de seguranca cibernetica deve ser igual para todas as instituicoes?,"Nao. Deve ser compativel com o porte, o perfil de risco e o modelo de negocio da instituicao.",bibliografia/normas/resolucao-cmn-4893-2021-seguranca-cibernetica.pdf,intermediario
D2-037,D2,governanca,Resolucao CMN no 4.893/2021,"art. 2o, § 2o",Um conglomerado prudencial pode adotar uma unica politica de seguranca cibernetica para todas as suas instituicoes?,Sim. A norma admite politica unica por conglomerado prudencial ou sistema cooperativo.,bibliografia/normas/resolucao-cmn-4893-2021-seguranca-cibernetica.pdf,avancado
D2-038,D2,governanca,Resolucao CMN no 4.557/2017,estrutura geral,A estrutura de gerenciamento de riscos e proporcional ao porte da instituicao?,Sim. A norma organiza as exigencias por segmento prudencial (S1 a S5) e exige a Declaracao de Apetite por Riscos (RAS) e programa de testes de estresse.,bibliografia/normas/resolucao-cmn-4557-2017-gerenciamento-riscos-capital.pdf,intermediario
D2-039,D2,governanca,Resolucao CMN no 5.274/2025,"art. 3o, § 2o, XIV",O monitoramento de informacoes na Deep Web e na Dark Web e exigencia expressa da regulamentacao de seguranca cibernetica?,"Sim. O inciso XIV exige acoes de inteligencia no ambiente cibernetico, incluindo o monitoramento de informacoes de interesse da instituicao na internet, na Deep Web e na Dark Web, alem de grupos privados de comunicacao.",bibliografia/normas/resolucao-cmn-5274-2025-altera-4893.pdf,avancado
